施設名,住所,延床面積,建築年度,用途,管理者,出典ファイル,用途地域リンク
喜連保育所,大阪市平野区瓜破東2-4-19,618.10,2025,社会福祉・保健施設児童福祉施設／公立保育所（公設置公営）,直営 こども青少年局 幼保施策部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.559982&mpy=34.60817&gprj=3
長吉第1保育所,大阪市平野区長吉長原東2-1-22,583.64,2012,社会福祉・保健施設児童福祉施設／公立保育所（公設置公営）,直営 こども青少年局 幼保施策部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.575211&mpy=34.60305&gprj=3
長吉第3保育所,大阪市平野区長吉長原西4-2-10,423.46,1971,社会福祉・保健施設児童福祉施設／公立保育所（公設置民営）,全部委託 こども青少年局 幼保施策部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.565094&mpy=34.59922&gprj=3
平野西保育所,大阪市平野区平野本町1-15-14,405.82,1973,社会福祉・保健施設児童福祉施設／公立保育所（公設置民営）,全部委託 こども青少年局 幼保施策部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.550232&mpy=34.623356&gprj=3
加美第1保育所,大阪市平野区加美正覚寺2-12-26,613.97,1975,社会福祉・保健施設児童福祉施設／公立保育所（公設置民営）,全部委託 こども青少年局 幼保施策部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.560837&mpy=34.630112&gprj=3
加美長沢保育園,大阪市平野区加美北5-9-35,493.89,1978,社会福祉・保健施設児童福祉施設／保育園,有償貸付 こども青少年局 幼保施策部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.563538&mpy=34.636776&gprj=3
もと平野勤労青少年ホーム（平野区子ども・子育てプラザ）,大阪市平野区瓜破3-3-64,523.37,1974,社会福祉・保健施設児童福祉施設／子ども・子育てプラザ,全部委託 こども青少年局 子育て支援部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.552765&mpy=34.603783&gprj=3
南部こども相談センター,大阪市平野区喜連西6-2-55,"2,416.65",1983,社会福祉・保健施設児童福祉施設／その他児童福祉施設児童相談所,直営 こども青少年局 南部こども相談ｾﾝﾀｰ－,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.547592&mpy=34.609428&gprj=3
加美北救護施設（救護施設ホーリーホーム）,大阪市平野区加美北7-1-30,"2,807.57",1981,社会福祉・保健施設その他社会福祉施設保護施設／保護施設,有償貸付 福祉局 生活福祉部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.55835&mpy=34.636055&gprj=3
おとしよりすこやかセンター南部館,大阪市平野区喜連西6-2-33,"7,780.13",1996,社会福祉・保健施設保健関係施設／介護老人保健施設,有償貸付 福祉局 高齢者施策部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.548737&mpy=34.610477&gprj=3
平野区役所,大阪市平野区背戸口3-8-19,"12,742.84",2001,庁舎・事務所／区役所,直営（一部委託） 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.546494&mpy=34.621017&gprj=3
平野区南部サービスセンター,大阪市平野区長吉出戸5-3-58,102.14,1995,庁舎・事務所／サービスセンター,直営 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.569839&mpy=34.608421&gprj=3
平野区北部サービスセンター,大阪市平野区加美鞍作1-9-3,959.78,2000,庁舎・事務所／サービスセンター,直営 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.564651&mpy=34.626015&gprj=3
東南環境事業センター,大阪市平野区瓜破南1-3-40,"4,745.62",1989,庁舎・事務所／環境事業センター,直営 環境局 事業部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.549866&mpy=34.595955&gprj=3
平野工営所,大阪市平野区平野西1-4-29,"5,042.13",2005,庁舎・事務所／工営所,直営 建設局 南部方面管理事務所管理課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.54071&mpy=34.620159&gprj=3
平野消防署,大阪市平野区平野南1-2-9,"1,323.23",1977,庁舎・事務所／消防局庁舎・消防署消防署,直営 消防局 総務部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.558182&mpy=34.620422&gprj=3
平野消防署加美出張所,大阪市平野区加美鞍作1-9-8,314.24,1957,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.565201&mpy=34.626038&gprj=3
平野消防署長吉出張所,大阪市平野区長吉長原2-1-4,303.99,1978,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.567719&mpy=34.606155&gprj=3
平野消防署喜連出張所,大阪市平野区喜連西6-2-52,280.66,1991,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.547928&mpy=34.609428&gprj=3
平野消防署加美正覚寺出張所,大阪市平野区加美正覚寺1-7-2,211.88,1973,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.559219&mpy=34.633434&gprj=3
平野災害待機宿舎,大阪市平野区××××××××,53.65,－,庁舎・事務所／災害待機宿舎,直営 消防局 総務部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.546112&mpy=34.621113&gprj=3
平野消防署仮設倉庫,大阪市平野区長吉六反3-9,85.84,2005,庁舎・事務所／その他消防施設,直営 消防局 総務部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.579834&mpy=34.602573&gprj=3
加美北会館,大阪市平野区加美北5-9-20,88.02,1976,一般会計その他施設地域利用施設／地域集会施設,無償貸付 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.563522&mpy=34.63805&gprj=3
出戸会館,大阪市平野区長吉出戸6-8-17,453.04,1996,一般会計その他施設地域利用施設／地域集会施設,無償貸付 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.571579&mpy=34.610363&gprj=3
平野西会館,大阪市平野区平野本町1-10-12,108.00,1996,一般会計その他施設地域利用施設／地域集会施設,無償貸付 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.550858&mpy=34.623665&gprj=3
平野西センター,大阪市平野区背戸口5-2-17,199.00,1980,一般会計その他施設地域利用施設／地域集会施設,無償貸付 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.547913&mpy=34.62236&gprj=3
平野連合会館,大阪市平野区平野上町2-5-22,169.98,1996,一般会計その他施設地域利用施設／地域集会施設,無償貸付 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.553268&mpy=34.625168&gprj=3
六反会館,大阪市平野区長吉六反2-10-15,342.59,1974,一般会計その他施設地域利用施設／地域集会施設,無償貸付 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.582367&mpy=34.606258&gprj=3
橘会館,大阪市平野区加美鞍作1-2-31,321.24,1968,一般会計その他施設地域利用施設／地域集会施設,無償貸付 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.56427&mpy=34.626263&gprj=3
加美正北老人憩の家,大阪市平野区加美北6-15-25,100.70,1976,一般会計その他施設地域利用施設／地域集会施設,無償貸付 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.555679&mpy=34.633354&gprj=3
加美東老人憩の家,大阪市平野区加美東5-7-13,104.77,1981,一般会計その他施設地域利用施設／地域集会施設,無償貸付 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.571548&mpy=34.628273&gprj=3
加美南部老人憩の家,大阪市平野区加美南5-1-26,100.28,1979,一般会計その他施設地域利用施設／地域集会施設,無償貸付 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.570282&mpy=34.620293&gprj=3
加美北老人憩の家,大阪市平野区加美北8-14-7,104.34,1980,一般会計その他施設地域利用施設／地域集会施設,無償貸付 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.56456&mpy=34.635143&gprj=3
加美老人憩の家,大阪市平野区加美東2-9-3,107.16,1983,一般会計その他施設地域利用施設／地域集会施設,無償貸付 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.569229&mpy=34.631302&gprj=3
長吉東部老人憩の家,大阪市平野区長吉六反5-10-19,205.77,1979,一般会計その他施設地域利用施設／地域集会施設,無償貸付 平野区役所,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.583252&mpy=34.602886&gprj=3
瓜破斎場,大阪市平野区瓜破東4-4-146,"4,274.82",1974,一般会計その他施設斎場・霊園／斎場施設,直営 環境局 総務部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.559937&mpy=34.603405&gprj=3
瓜破霊園,大阪市平野区瓜破東4-4-164,"1,575.92",2010,一般会計その他施設斎場・霊園／霊園施設,指定管理（使用料施設）環境局 総務部 施設管理課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.559128&mpy=34.604691&gprj=3
平野霊園,大阪市平野区平野南3-11,3.10,1963,一般会計その他施設斎場・霊園／霊園施設,指定管理（使用料施設）環境局 総務部 施設管理課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.560364&mpy=34.618469&gprj=3
大気汚染常時監視測定局（摂陽中学校）,大阪市平野区平野西3-4-7,18.40,1968,一般会計その他施設一般会計その他施設測定局・観測局／大気汚染常時監視測定局,直営 環境局 環境管理部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.545898&mpy=34.620785&gprj=3
埋蔵文化財収蔵倉庫,大阪市平野区長吉出戸5-3-58,"2,644.87",1995,一般会計その他施設一般会計その他施設倉庫／埋蔵文化財収蔵倉庫,直営 教育委員会事務局総務部 文化財保護課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.569839&mpy=34.608421&gprj=3
平野南倉庫,大阪市平野区平野南3-11-33,560.16,1993,一般会計その他施設一般会計その他施設倉庫／その他倉庫,直営 健康局 健康推進部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.561737&mpy=34.617802&gprj=3
瓜破自転車保管所管理事務所,大阪市平野区瓜破6-6,9.93,1984,インフラ関係施設／自転車保管所管理事務所,全部委託 建設局 総務部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.550644&mpy=34.601269&gprj=3
長吉北自転車保管所管理事務所,大阪市平野区長吉出戸8-3,27.73,1993,インフラ関係施設／自転車保管所管理事務所,直営 建設局 総務部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.574478&mpy=34.608372&gprj=3
長吉南自転車保管所管理事務所,大阪市平野区長吉長原東1-2,25.65,1994,インフラ関係施設／自転車保管所管理事務所,直営 建設局 総務部,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.574188&mpy=34.60519&gprj=3
