施設名,住所,延床面積,建築年度,用途,管理者,出典ファイル,用途地域リンク
総合生涯学習センター,大阪市北区梅田1-2-2-500,"3,102.99",1976,教育・文化・スポーツ施設教育施設／生涯学習センター,指定管理（利用料金施設）教育委員会事務局生涯学習部 生涯学習担当 社会教育・生涯学習ｸﾞﾙｰﾌﾟ,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.498413&mpy=34.698402&gprj=3
キッズプラザ大阪,大阪市北区扇町2-1-7,"8,342.79",－,教育・文化・スポーツ施設教育施設／その他学習・集会施設,その他 教育委員会事務局生涯学習部 生涯学習担当,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.509933&mpy=34.704266&gprj=3
国際学校,大阪市北区中津6-7-34,"3,009.74",1984,教育・文化・スポーツ施設教育施設／国際施設,無償貸付 経済戦略局 立地交流推進部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.488632&mpy=34.708637&gprj=3
大学と連携した人材育成中核拠点（キャンパスポート大阪）,大阪市北区梅田1-2-2,418.08,1976,教育・文化・スポーツ施設教育施設／その他教育施設,無償貸付 経済戦略局 産業振興部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.498413&mpy=34.698402&gprj=3
北図書館,大阪市北区本庄東3-8-2,610.66,1984,教育・文化・スポーツ施設図書館／地域図書館,直営（一部委託） 教育委員会事務局中央図書館 総務担当,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.508667&mpy=34.715591&gprj=3
北区民センター,大阪市北区扇町2-1-27,"2,748.24",1989,教育・文化・スポーツ施設会館・ホール／区役所附設会館,指定管理（使用料施設）北区役所 地域課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.510284&mpy=34.705719&gprj=3
大淀コミュニティセンター,大阪市北区本庄東3-8-2,"1,699.89",1984,教育・文化・スポーツ施設会館・ホール／区役所附設会館,指定管理（使用料施設）北区役所 地域課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.508667&mpy=34.715591&gprj=3
男女共同参画センター子育て活動支援館（クレオ大阪子育て館）,大阪市北区天神橋6-4-20,"1,606.99",1999,教育・文化・スポーツ施設会館・ホール／男女共同参画センター,指定管理（無料施設）市民局 ﾀﾞｲﾊﾞｰｼﾃｨ推進室 男女共同参画課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.511459&mpy=34.71059&gprj=3
中央公会堂,大阪市北区中之島1-1-27,"9,886.56",1918,教育・文化・スポーツ施設会館・ホール／文化施設,指定管理（利用料金施設）経済戦略局 文化部 文化課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.504532&mpy=34.693508&gprj=3
旧桜宮公会堂,大阪市北区天満橋1-1-1,"2,447.40",1871,教育・文化・スポーツ施設会館・ホール／文化施設,直営／有償貸付 経済戦略局 文化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.522003&mpy=34.697861&gprj=3
こども本の森 中之島,大阪市北区中之島1-1-28,815.10,2019,教育・文化・スポーツ施設会館・ホール／文化施設,指定管理（無料施設）経済戦略局 文化部 文化課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.504517&mpy=34.693432&gprj=3
北スポーツセンター,大阪市北区中津3-4-27,"2,094.44",1989,教育・文化・スポーツ施設スポーツ施設／スポーツセンター,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.492966&mpy=34.710835&gprj=3
扇町プール,大阪市北区扇町1-1,"4,356.24",2000,教育・文化・スポーツ施設スポーツ施設／屋内プール,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.507889&mpy=34.703709&gprj=3
菅南幼稚園,大阪市北区菅原町11-2,792.15,1982,教育・文化・スポーツ施設幼稚園／幼稚園,直営 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.509933&mpy=34.693649&gprj=3
滝川幼稚園,大阪市北区天満1-24-15,770.00,1986,教育・文化・スポーツ施設幼稚園／幼稚園,直営 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.518509&mpy=34.69614&gprj=3
中大淀幼稚園,大阪市北区大淀中4-10-21,674.00,1989,教育・文化・スポーツ施設幼稚園／幼稚園,直営 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.482208&mpy=34.704079&gprj=3
北区北老人福祉センター,大阪市北区同心1-5-27,790.87,1982,社会福祉・保健施設老人福祉施設／老人福祉センター,指定管理（無料施設）福祉局 高齢者施策部 高齢福祉課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.515717&mpy=34.701416&gprj=3
北区大淀老人福祉センター,大阪市北区本庄東1-24-11,504.90,1976,社会福祉・保健施設老人福祉施設／老人福祉センター,指定管理（無料施設）福祉局 高齢者施策部 高齢福祉課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.50676&mpy=34.711472&gprj=3
シルバー人材センター北部支部,大阪市北区池田町1-50,302.88,1962,社会福祉・保健施設老人福祉施設／その他老人福祉施設シルバー人材センター,無償貸付 福祉局 高齢者施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.515167&mpy=34.708214&gprj=3
なんばなかよし作業所,大阪市北区同心1-5-27,290.90,1982,社会福祉・保健施設障がい者福祉施設／障がい福祉サービス事業所（普通）,有償貸付 福祉局 障がい者施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.515717&mpy=34.701416&gprj=3
大淀保育所,大阪市北区大淀中4-9-11,771.92,2010,社会福祉・保健施設児童福祉施設／公立保育所（公設置公営）,直営 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.482285&mpy=34.703064&gprj=3
中津保育園,大阪市北区中津2-7-8-101,416.26,1972,社会福祉・保健施設児童福祉施設／保育園,有償貸付 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.49762&mpy=34.713921&gprj=3
長柄保育園,大阪市北区長柄東3-2-3,488.24,1978,社会福祉・保健施設児童福祉施設／保育園,無償貸付 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.518066&mpy=34.717102&gprj=3
同心保育園,大阪市北区同心1-5-27,"1,081.89",1982,社会福祉・保健施設児童福祉施設／保育園,有償貸付 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.515717&mpy=34.701416&gprj=3
もと大淀勤労青少年ホーム（北区子ども・子育てプラザ）,大阪市北区本庄東1-24-11,616.06,1976,社会福祉・保健施設児童福祉施設／子ども・子育てプラザ,全部委託 こども青少年局 子育て支援部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.50676&mpy=34.711472&gprj=3
愛光会館,大阪市北区中津1-4-10,"1,116.94",1993,社会福祉・保健施設その他社会福祉施設／母子・父子福祉センター,指定管理（無料施設）こども青少年局 子育て支援部 こども家庭課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.494827&mpy=34.710358&gprj=3
北部生活衛生監視事務所,大阪市北区扇町2-1-27,359.21,－,社会福祉・保健施設保健関係施設／生活衛生監視事務所,直営 健康局 生活衛生部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.510284&mpy=34.705719&gprj=3
本庄小売市場民営活性化事業施設「スーパーサンコー中崎町店」,大阪市北区中崎1-6-10,"2,506.58",1974,流通産業施設／小売市場民営活性化事業施設小売市場民営活性化事業施設,有償貸付 経済戦略局 産業振興部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.506134&mpy=34.706882&gprj=3
大阪イノベーションハブ（OIH）,大阪市北区大深町3-1,586.90,－,流通産業施設／企業支援施設,全部委託 経済戦略局 産業振興部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.494339&mpy=34.705833&gprj=3
市庁舎,大阪市北区中之島1-3-20,"75,010.52",1982,庁舎・事務所／本庁舎,直営 総務局 行政部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.501282&mpy=34.693871&gprj=3
北区役所,大阪市北区扇町2-1-27,"9,850.57",1989,庁舎・事務所／区役所,直営（一部委託） 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.510284&mpy=34.705719&gprj=3
税務部分室,大阪市北区梅田1-2-2,440.87,1976,庁舎・事務所／その他庁舎,直営 財政局 税務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.498413&mpy=34.698402&gprj=3
福祉局分室（ジーニス大阪）,大阪市北区××××××××,382.97,2003,庁舎・事務所／その他庁舎,直営 福祉局 生活福祉部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.509995&mpy=34.705555&gprj=3
こども青少年局分室（ジーニス大阪）,大阪市北区菅原町10-25,576.46,2003,庁舎・事務所／その他庁舎,直営 こども青少年局 企画部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.51088&mpy=34.693981&gprj=3
梅田サービスカウンター,大阪市北区梅田1大阪駅前ﾀﾞｲﾔﾓﾝﾄﾞ地下街5号,164.57,－,事務所・営業所／サービスカウンターサービスカウンター,直営 市民局 総務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.497726&mpy=34.700012&gprj=3
梅田市税事務所,大阪市北区梅田1-2-2,"2,770.60",1976,庁舎・事務所／市税事務所,直営 財政局 税務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.498413&mpy=34.698402&gprj=3
扇町公園事務所,大阪市北区扇町1-1,540.22,1997,庁舎・事務所／公園事務所,直営 建設局 公園緑化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.507889&mpy=34.703709&gprj=3
職員相談室,大阪市北区梅田1-3-1-800,157.25,1973,庁舎・事務所／その他事務所・営業所,直営 総務局 人事部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.49704&mpy=34.698494&gprj=3
大阪市医療助成費等償還事務センター,大阪市北区同心1-5-27,509.95,1982,庁舎・事務所／その他事務所・営業所,直営（一部委託） 福祉局 生活福祉部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.515717&mpy=34.701416&gprj=3
若者自立支援事業（コネクションズおおさか）事務室,大阪市北区梅田1-2-2-400,148.53,1976,庁舎・事務所／その他事務所・営業所,全部委託 こども青少年局 企画部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.498413&mpy=34.698402&gprj=3
北消防署,大阪市北区茶屋町19-41,"1,933.70",1963,庁舎・事務所／消防局庁舎・消防署消防署,直営 消防局 総務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.49939&mpy=34.709126&gprj=3
北消防署南森町出張所,大阪市北区南森町1-1-22,950.92,2023,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.51088&mpy=34.696152&gprj=3
北消防署浮田出張所,大阪市北区浮田2-6-29,224.78,1974,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.507904&mpy=34.709106&gprj=3
北消防署与力出張所,大阪市北区同心1-5-15,516.17,2003,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.514938&mpy=34.701015&gprj=3
北消防署梅田出張所,大阪市北区梅田1-3-1-100,262.56,1970,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.49704&mpy=34.698494&gprj=3
北消防署本庄出張所,大阪市北区本庄西2-8-18,178.97,1964,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.506424&mpy=34.714592&gprj=3
北消防署大淀町出張所,大阪市北区大淀北1-4-37,205.84,1965,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.48735&mpy=34.707951&gprj=3
北災害待機宿舎,大阪市北区××××××××,97.86,1988,庁舎・事務所／災害待機宿舎,直営 消防局 総務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.509995&mpy=34.705555&gprj=3
中津福祉会館,大阪市北区中津3-4-37,108.00,1988,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.493622&mpy=34.710419&gprj=3
大淀地域集会所,大阪市北区大淀中3-12-8,166.74,1986,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.484512&mpy=34.705376&gprj=3
堂島地域集会所,大阪市北区堂島2-2-26,109.94,2002,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.494202&mpy=34.697258&gprj=3
豊崎地域集会所,大阪市北区豊崎4-7-1,109.54,1991,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.501877&mpy=34.712242&gprj=3
豊仁地域集会所,大阪市北区長柄中3-4-2,125.00,1989,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.514175&mpy=34.716309&gprj=3
本庄地域集会所,大阪市北区本庄東2-4-39,156.48,1989,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.510132&mpy=34.713387&gprj=3
菅北集会所,大阪市北区池田町1-50,134.29,1962,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.515167&mpy=34.708214&gprj=3
堀川会館,大阪市北区同心2-8-7,105.30,1987,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.513382&mpy=34.703472&gprj=3
済美福祉センター,大阪市北区中崎西1-6-8,60.15,2013,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.504684&mpy=34.707214&gprj=3
菅北福祉会館老人憩の家,大阪市北区池田町1-50,133.49,1962,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.515167&mpy=34.708214&gprj=3
扇町老人憩の家,大阪市北区山崎町5-22,103.51,1979,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.50769&mpy=34.70602&gprj=3
中津老人憩の家,大阪市北区中津3-4-37,110.55,1988,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.493622&mpy=34.710419&gprj=3
堂島・中之島老人憩の家,大阪市北区堂島2-2-26,145.06,2002,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.494202&mpy=34.697258&gprj=3
豊崎会館老人憩の家,大阪市北区豊崎4-7-1,130.00,1991,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.501877&mpy=34.712242&gprj=3
豊仁福祉老人憩の家,大阪市北区長柄中3-4-2,125.00,1989,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.514175&mpy=34.716309&gprj=3
堀川老人憩の家,大阪市北区同心2-8-7,106.48,1987,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.513382&mpy=34.703472&gprj=3
本庄福祉老人憩の家,大阪市北区本庄東2-4-39,156.48,1989,一般会計その他施設地域利用施設／地域集会施設,無償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.510132&mpy=34.713387&gprj=3
曽根崎コミュニティセンター,大阪市北区曽根崎２丁目15番１号,291.58,－,一般会計その他施設地域利用施設／地域集会施設,有償貸付 北区役所,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.501663&mpy=34.700996&gprj=3
北斎場,大阪市北区長柄西1-7-13,"12,374.93",1999,一般会計その他施設斎場・霊園／斎場施設,指定管理（使用料施設）環境局 総務部 施設管理課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.512985&mpy=34.71431&gprj=3
北霊園,大阪市北区長柄中2-4-25,203.83,1993,一般会計その他施設斎場・霊園／霊園施設,指定管理（使用料施設）環境局 総務部 施設管理課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.514389&mpy=34.713825&gprj=3
災害対策用職員住宅,大阪市北区××××××××,32.51,－,一般会計その他施設一般会計その他施設職員住宅・宿舎／災害対策用職員住宅,その他 危機管理室,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.526688&mpy=34.622059&gprj=3
大気汚染常時監視測定局（梅田新道）,大阪市北区西天満2-7-9,27.65,－,一般会計その他施設一般会計その他施設測定局・観測局／大気汚染常時監視測定局,直営 環境局 環境管理部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.501923&mpy=34.695755&gprj=3
住まい情報センター,大阪市北区天神橋6-4-20,"11,271.68",1999,一般会計その他施設一般会計その他施設一般会計その他施設一般会計その他施設,指定管理（利用料金施設）都市整備局 企画部 住宅政策課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.511459&mpy=34.71059&gprj=3
中津自転車保管所管理事務所,大阪市北区豊崎6-11-11,26.68,1987,インフラ関係施設／自転車保管所管理事務所,全部委託 建設局 総務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.500427&mpy=34.7155&gprj=3
大阪天満宮駅・南森町駅自転車駐車場管理事務所,大阪市北区南森町1-4,8.10,2010,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.509949&mpy=34.697037&gprj=3
地下鉄中津駅自転車駐車場管理事務所,大阪市北区中津1-1,12.15,2010,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.495209&mpy=34.709156&gprj=3
扇町駅・天満駅自転車駐車場管理事務所,大阪市北区天神橋4-3-13,9.20,1989,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.512161&mpy=34.704746&gprj=3
天神橋6丁目駅自転車駐車場管理事務所,大阪市北区浪花町14,11.56,1989,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.510132&mpy=34.710213&gprj=3
阪急中津駅自転車駐車場管理事務所,大阪市北区中津3-4,12.96,1994,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.493042&mpy=34.710403&gprj=3
扇町公園地下駐車場,大阪市北区扇町1-1,"6,371.87",1997,インフラ関係施設／自動車駐車場,指定管理（利用料金施設）建設局 公園緑化部 公園課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.507889&mpy=34.703709&gprj=3
浦江公園,大阪市北区大淀南3-3,19.20,1997,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.483627&mpy=34.701233&gprj=3
扇町公園,大阪市北区扇町1-1,"1,368.30",1996,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.507889&mpy=34.703709&gprj=3
滝川公園,大阪市北区天満4-7,15.60,2004,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.514633&mpy=34.694107&gprj=3
