未利用地登録年度,番号,所在（区）,町丁目,地番,街区番号,面積（㎡）,土地所管局,財産名称,現状,活用方針,分類基準,処分目途,貸付等の活用状況,備考,マップナビおおさかへのリンク,住居表示,緯度,経度,ジオコード精度
2006,576,住之江区,平林北２丁目,7‐24,7番,426,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,事業予定地,基準９,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=124,大阪府大阪市住之江区平林北２丁目7番,34.618633,135.457047,街区番号
2006,577,住之江区,平林北２丁目,7‐51,7番,1098,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,事業予定地,基準９,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=126,大阪府大阪市住之江区平林北２丁目7番,34.618633,135.457047,街区番号
2006,578,住之江区,平林北２丁目,7‐64,7番,426,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,事業予定地,基準９,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=127,大阪府大阪市住之江区平林北２丁目7番,34.618633,135.457047,街区番号
2006,579,住之江区,平林北２丁目,7‐93,7番,773,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,事業予定地,基準９,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=128,大阪府大阪市住之江区平林北２丁目7番,34.618633,135.457047,街区番号
2006,581,住之江区,平林北２丁目,8‐1,8番,3927,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,処分検討地,基準２,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=129,大阪府大阪市住之江区平林北２丁目8番,34.618767,135.454895,街区番号
2006,582,住之江区,平林北２丁目,8‐14,8番,856,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,処分検討地,基準２,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=130,大阪府大阪市住之江区平林北２丁目8番,34.618767,135.454895,街区番号
2006,583,住之江区,平林北２丁目,8‐23,8番,3778,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,処分検討地,基準２,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=131,大阪府大阪市住之江区平林北２丁目8番,34.618767,135.454895,街区番号
2006,584,住之江区,平林北２丁目,8‐53,8番,1291,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,処分検討地,基準２,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=133,大阪府大阪市住之江区平林北２丁目8番,34.618767,135.454895,街区番号
2006,586,住之江区,平林北２丁目,9‐135,9番,1623,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,処分検討地,基準２,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=135,大阪府大阪市住之江区平林北２丁目9番,34.62048,135.448303,街区番号
2006,588,住之江区,平林北２丁目,9‐144,9番,2670,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,処分検討地,基準２,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=137,大阪府大阪市住之江区平林北２丁目9番,34.62048,135.448303,街区番号
2006,589,住之江区,平林北２丁目,9‐151,9番,3212,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,処分検討地,基準２,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=153,大阪府大阪市住之江区平林北２丁目9番,34.62048,135.448303,街区番号
2006,590,住之江区,平林北２丁目,9‐154,9番,1599,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,処分検討地,基準２,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=154,大阪府大阪市住之江区平林北２丁目9番,34.62048,135.448303,街区番号
2006,585,住之江区,平林北２丁目,9‐64,9番,1301,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,事業予定地,基準９,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=134,大阪府大阪市住之江区平林北２丁目9番,34.62048,135.448303,街区番号
2006,591,住之江区,平林南１丁目,2‐4,2番,11019,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場・空地,事業予定地,基準９,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=155,大阪府大阪市住之江区平林南１丁目2番,34.613224,135.459503,街区番号
2006,592,住之江区,平林南１丁目,5‐10,5番,557,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,事業予定地,基準９,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=156,大阪府大阪市住之江区平林南１丁目5番,34.615028,135.452576,街区番号
2006,594,住之江区,平林南２丁目,9,9番,3082,都市整備局,平林南第３住宅,グラウンド,事業予定地,基準７,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=158,大阪府大阪市住之江区平林南２丁目9番,34.608936,135.454956,街区番号
2006,595,住之江区,平林南２丁目,10‐11,10番,684,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,事業予定地,基準９,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=159,大阪府大阪市住之江区平林南２丁目10番,34.611389,135.451736,街区番号
